Order_ID,Order_Date,Region,City,Customer_Type,Product_Category,Quantity,Unit_Price,Discount_Percent,Revenue
200000,2021-06-25,East,Ahmedabad,New,Clothing,1,1371.52,5,1302.944
200001,2021-07-16,East,Kolkata,Returning,Food,6,3343.51,0,20061.06
200002,2022-06-22,Central,Pune,New,,4,24849.97,10,89459.892
200003,2022-05-18,South,Pune,New,Furniture,7,30297.19,15,180268.2805
200004,2022-08-03,Central,Delhi,Returning,Accessories,8,8876,15,60356.8
200005,2021-07-31,Central,Delhi,Returning,Electronics,5,7676.97,0,38384.85
200006,2023-07-09,East,Delhi,Returning,Food,5,34430.69,25,129115.0875
200007,2022-09-08,North,Mumbai,Returning,,4,40229.84,20,128735.488
200008,2021-12-15,,Hyderabad,New,Clothing,2,529.5,10,953.1
200009,2021-07-05,West,Mumbai,,Food,7,7358.44,0,51509.08
200010,2022-02-03,West,Chennai,Returning,Electronics,,24682.04,20,
200011,2022-06-20,North,Bengaluru,Returning,Clothing,2,429,20,686.4
200012,2022-08-08,,Bengaluru,Returning,Clothing,6,9211.33,0,55267.98
200013,2021-12-12,,Delhi,Returning,Electronics,7,16066.22,10,101217.186
200014,2022-01-02,West,Pune,,Electronics,,27242.53,25,
200015,2022-07-09,North,Delhi,New,Furniture,1,12222.3,10,11000.07
200016,2023-01-01,North,Hyderabad,New,Accessories,4,459.75,15,1563.15
200017,2023-06-24,East,Chennai,New,Accessories,4,38685.28,10,139267.008
200018,2021-06-17,North,Hyderabad,New,Clothing,7,35090.68,,245634.76
200019,2023-09-26,South,Bengaluru,New,Clothing,2,26763.26,,53526.52
200020,2021-03-10,Central,Ahmedabad,New,Food,6,27607.91,5,157365.087
200021,2022-03-09,North,Kolkata,New,Accessories,5,29503.21,5,140140.2475
200022,2023-06-15,West,Hyderabad,Returning,Furniture,7,44918.72,25,235823.28
200023,2022-01-27,West,Kolkata,,Food,,6764.7,,
200024,2023-07-30,,Hyderabad,Returning,Furniture,3,6464.18,20,15514.032
200025,2022-05-28,West,Delhi,Returning,Food,2,47649.32,25,71473.98
200026,2021-03-17,Central,Delhi,,Clothing,6,30297.19,20,145426.512
200027,2023-04-04,West,Bengaluru,Returning,,,47358.33,15,
200028,2021-09-08,Central,Mumbai,New,Clothing,9,48657.49,5,416021.5395
200029,2021-01-07,Central,Bengaluru,New,Accessories,3,46357.76,10,125165.952
200030,2023-02-27,West,Ahmedabad,Returning,Furniture,3,1928.25,15,4917.0375
200031,2022-03-21,West,Pune,New,Clothing,4,43009,0,172036
200032,2021-02-14,North,Delhi,New,Food,9,41894.01,20,301636.872
200033,2022-12-05,South,Hyderabad,Returning,Food,1,22803,,22803
200034,2021-11-22,,,New,Accessories,2,1357.94,25,2036.91
200035,2023-04-05,South,Pune,Returning,Clothing,6,24680.23,20,118465.104
200036,2021-06-02,West,Delhi,Returning,Accessories,4,7676.97,,30707.88
200037,2021-07-03,East,Mumbai,New,Clothing,4,35520.71,10,127874.556
200038,2023-08-08,West,Pune,Returning,Accessories,8,34036.26,0,272290.08
200039,2021-04-23,South,Hyderabad,New,Accessories,1,48150.67,20,38520.536
200040,2023-02-03,East,Bengaluru,Returning,,7,4817.85,25,25293.7125
200041,2021-07-09,Central,Kolkata,,,4,49424.72,10,177928.992
200042,2023-08-19,North,Hyderabad,New,Accessories,9,2942.53,0,26482.77
200043,2021-10-18,North,Ahmedabad,New,Furniture,,6764.7,15,
200044,2021-11-09,West,Bengaluru,Returning,Accessories,,44949.73,0,
200045,2021-07-21,,Hyderabad,Returning,Food,1,7676.97,5,7293.1215
200046,2022-04-08,West,Mumbai,New,Clothing,8,16066.22,5,122103.272
200047,2022-07-05,East,Kolkata,Returning,Accessories,,47358.33,5,
200048,2023-02-12,West,Bengaluru,New,Accessories,7,31329.17,25,164478.1425
200049,2022-05-10,North,Ahmedabad,Returning,,7,12018.78,15,71511.741
200050,2021-05-18,East,Delhi,,,8,885.54,25,5313.24
200051,2023-05-06,East,Ahmedabad,New,,4,23148.03,5,87962.514
200052,2022-04-29,West,Bengaluru,Returning,Clothing,3,27242.53,15,69468.4515
200053,2021-07-15,West,Delhi,Returning,Accessories,8,48657.49,10,350333.928
200054,2021-03-14,West,Mumbai,New,Furniture,4,48292.22,10,173851.992
200055,2023-05-02,Central,Bengaluru,,Clothing,5,44764.05,20,179056.2
200056,2023-08-03,Central,Ahmedabad,New,Food,4,48150.67,,192602.68
200057,2021-09-15,North,Delhi,New,Food,3,48292.22,25,108657.495
200058,2022-12-06,South,Kolkata,New,Furniture,2,25249.35,15,42923.895
200059,2022-02-05,South,Delhi,New,,1,44476.87,20,35581.496
200060,2022-01-10,North,Delhi,New,,,26763.26,,
200061,2023-07-17,Central,Kolkata,New,Accessories,1,27630.42,15,23485.857
200062,2021-12-16,North,Mumbai,New,,6,8876,10,47930.4
200063,2023-07-30,Central,Mumbai,Returning,Clothing,9,47419.94,20,341423.568
200064,2022-08-28,Central,Kolkata,New,Furniture,2,190.13,20,304.208
200065,2023-02-04,,Ahmedabad,Returning,,9,31329.17,15,239668.1505
200066,2022-08-07,West,Kolkata,New,Furniture,3,16762.63,10,45259.101
200067,2021-10-07,South,Pune,Returning,Food,,34575.21,,
200068,2022-06-07,Central,Pune,New,,6,6764.7,10,36529.38
